text,label,label_text
"@user transfer fund of £250,000 is given to .... Nottingham Forest a team with a transfer embargo.",1,irony
Iiiiiiii have the best boyfriend everrrrrrrrr.,0,non_irony
And people start to drink ... Means fun,1,irony
Bad Idea When You climb on the mountain,0,non_irony
Gotta love #EMC's latest feature on the VNX side.,1,irony
"If a foreign power hit Japan's embassy in NYC with a missile, not really an attack on US. In that sense, I agree with you. @user",0,non_irony
I don't think you get how embarrassing and trashy all of that really is...  s'cute,0,non_irony
My current Christmas song obsession. Played it non-stop all weekend  via @user,1,irony
@user @user Time to listen to ppl complain bout their lot in life bec they cudnt make themselves anything??? Yay!!!!,1,irony
#Minivan #Mom #Ebony #Wilkerson  #Guilty #By #Reason #of #Insanity: #Judge: A Florida judge ruled Friday that...,0,non_irony
